フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
83,"BDAAAA+BIZUDPGothic-Regular",433,0,0,0,0,9,0,0,2,1
82,"ADAAAA+BIZUDPGothic-Regular",429,0,0,0,0,1,0,0,0,1
81,"ZCAAAA+BIZUDPGothic-Regular",425,0,0,0,0,3,0,0,0,1
80,"YCAAAA+BIZUDPGothic-Regular",421,0,0,0,0,1,0,0,0,1
79,"XCAAAA+BIZUDPGothic-Regular",417,0,0,0,0,3,0,0,0,1
78,"WCAAAA+BIZUDPGothic-Regular",413,0,0,0,0,2,0,0,0,1
77,"VCAAAA+BIZUDPGothic-Regular",409,0,0,0,0,2,0,0,0,1
76,"UCAAAA+BIZUDPGothic-Regular",405,0,0,0,0,1,0,0,0,1
75,"TCAAAA+BIZUDPGothic-Regular",401,0,0,0,0,1,0,0,0,1
74,"SCAAAA+BIZUDPGothic-Regular",397,0,0,0,0,1,0,0,0,1
73,"RCAAAA+BIZUDPGothic-Regular",393,0,0,0,0,1,0,0,1,1
72,"QCAAAA+BIZUDPGothic-Regular",389,0,0,0,0,1,0,0,0,1
71,"PCAAAA+BIZUDPGothic-Regular",385,0,0,0,0,0,0,0,1,2
70,"OCAAAA+BIZUDPGothic-Regular",381,0,0,0,0,3,0,0,0,1
69,"NCAAAA+BIZUDPGothic-Regular",377,0,0,0,0,1,0,0,1,1
68,"MCAAAA+BIZUDPGothic-Regular",373,0,0,0,0,1,0,0,0,1
67,"LCAAAA+BIZUDPGothic-Regular",369,0,0,0,0,2,0,0,0,1
66,"KCAAAA+BIZUDPGothic-Regular",365,0,0,0,0,2,0,0,0,1
65,"JCAAAA+BIZUDPGothic-Regular",361,0,0,0,0,3,0,0,0,1
64,"ICAAAA+BIZUDPGothic-Regular",357,0,0,0,0,1,0,0,0,1
63,"HCAAAA+BIZUDPGothic-Regular",353,0,0,0,0,1,0,0,0,1
62,"GCAAAA+BIZUDPGothic-Regular",349,0,0,0,0,2,0,0,0,1
61,"FCAAAA+BIZUDPGothic-Regular",345,0,0,0,0,4,0,0,0,1
60,"ECAAAA+BIZUDPGothic-Regular",341,0,0,0,0,3,0,0,0,1
59,"DCAAAA+BIZUDPGothic-Regular",337,0,0,0,0,2,0,0,0,1
58,"CCAAAA+BIZUDPGothic-Regular",333,0,0,0,0,1,0,0,0,1
57,"BCAAAA+BIZUDPGothic-Regular",329,0,0,0,0,6,0,0,0,1
56,"ACAAAA+BIZUDPGothic-Regular",325,0,0,0,0,1,0,0,1,1
55,"ZBAAAA+BIZUDPGothic-Regular",321,0,0,0,0,2,0,0,0,1
54,"YBAAAA+BIZUDPGothic-Regular",317,0,0,0,0,1,0,0,0,1
53,"XBAAAA+BIZUDPGothic-Regular",313,0,0,0,0,3,0,0,0,2
52,"WBAAAA+BIZUDPGothic-Regular",309,0,0,0,0,3,0,0,0,1
51,"VBAAAA+BIZUDPGothic-Regular",305,0,0,0,0,0,0,0,1,1
50,"UBAAAA+BIZUDPGothic-Regular",301,0,0,0,0,4,0,0,0,1
49,"TBAAAA+BIZUDPGothic-Regular",297,0,0,0,0,3,0,0,0,1
48,"SBAAAA+BIZUDPGothic-Regular",293,0,0,0,0,2,0,0,0,1
47,"RBAAAA+BIZUDPGothic-Regular",289,0,0,0,0,0,0,0,2,1
46,"QBAAAA+BIZUDPGothic-Regular",285,0,0,0,0,2,0,0,0,1
45,"PBAAAA+BIZUDPGothic-Regular",281,0,0,0,0,3,0,0,0,1
44,"OBAAAA+BIZUDPGothic-Regular",277,0,0,0,0,3,0,0,0,2
43,"NBAAAA+BIZUDPGothic-Regular",273,0,0,0,0,1,0,0,0,1
42,"MBAAAA+BIZUDPGothic-Regular",269,0,0,0,0,1,0,0,0,1
41,"LBAAAA+BIZUDPGothic-Regular",265,0,0,0,0,1,0,0,0,1
40,"KBAAAA+Meiryo",261,1,0,0,0,0,0,0,0,1
39,"JBAAAA+BIZUDPGothic-Regular",257,0,0,0,0,2,0,0,0,1
38,"IBAAAA+BIZUDPGothic-Regular",253,0,0,0,0,2,0,0,0,1
37,"HBAAAA+BIZUDPGothic-Regular",249,0,0,0,0,2,0,0,1,1
36,"GBAAAA+BIZUDPGothic-Regular",245,0,0,0,0,5,0,0,1,1
35,"FBAAAA+BIZUDPGothic-Regular",241,0,0,0,0,1,0,0,2,1
34,"EBAAAA+BIZUDPGothic-Regular",237,0,0,0,0,1,0,0,0,1
33,"DBAAAA+BIZUDPGothic-Regular",233,0,0,0,0,5,0,0,3,1
32,"CBAAAA+BIZUDPGothic-Regular",229,0,0,0,0,2,0,0,0,1
31,"BBAAAA+BIZUDPGothic-Regular",225,0,0,0,0,2,0,0,0,1
30,"ABAAAA+BIZUDPGothic-Regular",221,0,0,0,0,4,0,0,1,1
29,"ZAAAAA+BIZUDPGothic-Regular",217,0,0,0,0,1,0,0,0,1
28,"YAAAAA+BIZUDPGothic-Regular",213,0,0,0,0,1,1,0,0,1
27,"XAAAAA+BIZUDPGothic-Regular",209,0,0,0,0,1,0,0,0,1
26,"WAAAAA+BIZUDPGothic-Regular",205,0,0,0,0,2,0,0,1,1
25,"VAAAAA+BIZUDPGothic-Regular",201,0,0,0,0,7,0,0,0,1
24,"UAAAAA+BIZUDPGothic-Regular",197,0,0,0,0,1,0,0,0,1
23,"TAAAAA+BIZUDPGothic-Regular",193,0,0,0,0,5,0,0,1,1
22,"SAAAAA+BIZUDPGothic-Regular",189,0,0,0,0,3,1,0,1,1
21,"RAAAAA+BIZUDPGothic-Regular",185,0,0,0,0,0,0,0,1,1
20,"QAAAAA+BIZUDPGothic-Regular",181,0,0,0,0,5,0,0,0,1
19,"PAAAAA+BIZUDPGothic-Regular",177,0,0,0,0,1,0,0,3,2
18,"OAAAAA+BIZUDPGothic-Regular",173,0,0,0,0,2,0,0,3,1
